EIK,Koli4estvo_obshto,Code,Data,Submitted
112106418,7.0,18 01 03 *,08/02/2021,
112106418,3.0,16 03 05 *,08/02/2021,
112106418,2.0,20 01 21 *,08/02/2021,
112106418,2323.0,16 03 05 *,22/02/2021,
112106418,51.0,18 01 03 *,10/02/2021,
112106418,4.8,16 03 05 *,10/02/2021,
112106418,2.0,20 01 21 *,10/02/2021,
112106418,1005.0,18 01 03 *,09/02/2021,
112106418,6.5,16 03 05 *,09/02/2021,
112106418,1.0,20 01 21 *,09/02/2021,
112106418,8.1,18 01 03 *,07/02/2021,
112106418,2.0,16 03 05 *,07/02/2021,
112106418,5.0,20 01 21 *,07/02/2021,
112106418,1.1,18 01 03 *,20/01/2021,
